FechaInicio;FechaFin;Bicicleta;Origen;Destino;CandadoOrigen;CandadoDestino
;;;;;;
05/12/2016 7:28;05/12/2016 7:36;b113;Parque Zona Carrefour;Campus Unamuno;c707;c1303
;;;;;;
05/12/2016 7:16;05/12/2016 7:20;b98;Plaza del Oeste;Plaza San Julián;c2403;c2606
;;;;;;
04/12/2016 21:04;04/12/2016 21:20;b174;Estación de autobuses;Parque La Alamedilla;c1011;c2812
;;;;;;
04/12/2016 21:01;04/12/2016 21:12;b62;Glorieta Antonio Machado;Plaza Poeta Iglesias;c2908;c112
;;;;;;
04/12/2016 21:00;05/12/2016 9:50;b132;Glorieta Antonio Machado;Glorieta Antonio Machado;c2902;c2902
;;;;;;
04/12/2016 20:32;04/12/2016 20:49;b63;Plaza Iglesia Pizarrales;Zurguén;c1102;c1708
;;;;;;
04/12/2016 20:01;04/12/2016 20:34;b101;Plaza San Julián;Federico Anaya - Tilos;c2604;c2102
;;;;;;
04/12/2016 19:46;04/12/2016 19:55;b76;Estación de trenes;Paseo Canalejas;c902;c2506
;;;;;;
04/12/2016 19:44;04/12/2016 19:55;b171;Estación de trenes;Paseo Canalejas;c901;c2505
;;;;;;
04/12/2016 19:20;04/12/2016 19:28;b124;Estación de autobuses;Plaza Poeta Iglesias;c1004;c108
;;;;;;
04/12/2016 18:44;04/12/2016 18:53;b166;María Auxiliadora;Plaza Poeta Iglesias;c803;c102
;;;;;;
04/12/2016 18:44;04/12/2016 21:01;b138;Barrio San José;Glorieta Antonio Machado;c505;c2902
;;;;;;
04/12/2016 18:37;04/12/2016 18:45;b35;Barrio San José;Barrio San José;c501;c502
;;;;;;
04/12/2016 18:09;04/12/2016 18:50;b42;Campus Ciencias;Prosperidad;c1402;c1614
;;;;;;
04/12/2016 18:08;04/12/2016 18:50;b64;Campus Ciencias;Prosperidad;c1404;c1610
;;;;;;
04/12/2016 18:05;04/12/2016 18:05;b15;La Marina;La Marina;c1202;c1202
;;;;;;
04/12/2016 17:53;04/12/2016 17:59;b48;Estación de autobuses;Nuevo Parking Hospital;c1002;c402
;;;;;;
04/12/2016 17:32;04/12/2016 17:54;b64;Prosperidad;Campus Ciencias;c1603;c1404
;;;;;;
04/12/2016 17:31;04/12/2016 17:54;b176;Prosperidad;Campus Ciencias;c1604;c1405
;;;;;;
04/12/2016 17:21;04/12/2016 17:42;b115;Plaza Iglesia Pizarrales;Parque La Alamedilla;c1105;c2807
;;;;;;
04/12/2016 17:15;04/12/2016 17:29;b20;Glorieta CYL;Estación de autobuses;c1911;c1006
;;;;;;
04/12/2016 17:14;04/12/2016 17:29;b124;Glorieta Antonio Machado;Estación de autobuses;c2906;c1004
;;;;;;
04/12/2016 17:12;04/12/2016 17:14;b132;Glorieta Antonio Machado;Glorieta Antonio Machado;c2902;c2902
;;;;;;
04/12/2016 16:56;04/12/2016 17:04;b161;Federico Anaya - Tilos;Plaza Poeta Iglesias;c2104;c110
;;;;;;
04/12/2016 16:44;04/12/2016 16:55;b84;Estación de autobuses;Parque La Alamedilla;c1010;c2804
;;;;;;
04/12/2016 16:35;04/12/2016 17:20;b142;Campus Unamuno;Campus Unamuno;c1309;c1307
;;;;;;
04/12/2016 16:32;04/12/2016 16:34;b137;Campus Unamuno;Campus Unamuno;c1312;c1311
;;;;;;
04/12/2016 16:29;04/12/2016 17:20;b116;Campus Unamuno;Campus Unamuno;c1317;c1314
;;;;;;
04/12/2016 16:15;04/12/2016 16:22;b166;Plaza San Julián;María Auxiliadora;c2606;c803
;;;;;;
04/12/2016 16:08;04/12/2016 16:15;b150;Plaza del Oeste;Plaza Iglesia Pizarrales;c2402;c1104
;;;;;;
04/12/2016 15:45;04/12/2016 15:49;b98;Plaza Iglesia Pizarrales;Plaza del Oeste;c1104;c2403
;;;;;;
04/12/2016 15:41;04/12/2016 15:50;b154;Federico Anaya - Tilos;Plaza Poeta Iglesias;c2103;c105
;;;;;;
04/12/2016 15:20;04/12/2016 15:29;b171;Paseo Canalejas;Estación de trenes;c2508;c901
;;;;;;
04/12/2016 15:19;04/12/2016 15:30;b76;Paseo Canalejas;Estación de trenes;c2505;c902
;;;;;;
04/12/2016 14:36;04/12/2016 15:40;b111;Puente Romano;Campus Unamuno;c306;c1313
;;;;;;
04/12/2016 13:52;04/12/2016 14:16;b104;Federico Anaya - Tilos;María Auxiliadora;c2102;c806
;;;;;;
04/12/2016 13:37;04/12/2016 13:43;b135;Parque Zona Carrefour;Glorieta CYL;c703;c1908
;;;;;;
04/12/2016 13:02;04/12/2016 13:36;b124;Campus Unamuno;Glorieta Antonio Machado;c1320;c2906
;;;;;;
04/12/2016 12:54;04/12/2016 13:19;b109;Campus Unamuno;Plaza Gabriel y Galán;c1303;c2203
;;;;;;
04/12/2016 12:46;04/12/2016 12:51;b8;Glorieta CYL;María Auxiliadora;c1910;c802
;;;;;;
04/12/2016 12:43;04/12/2016 12:51;b150;Campus Unamuno;Plaza del Oeste;c1307;c2402
;;;;;;
04/12/2016 12:41;04/12/2016 12:58;b22;Estación de autobuses;Tejares;c1006;c604
;;;;;;
04/12/2016 12:20;04/12/2016 12:58;b124;La Marina;Campus Unamuno;c1210;c1320
;;;;;;
04/12/2016 12:14;04/12/2016 12:18;b30;Glorieta Antonio Machado;La Marina;c2910;c1204
;;;;;;
04/12/2016 12:13;04/12/2016 12:19;b65;María Auxiliadora;Plaza Poeta Iglesias;c802;c102
;;;;;;
04/12/2016 12:07;04/12/2016 12:52;b50;Plaza Gabriel y Galán;Campus Unamuno;c2204;c1305
;;;;;;
04/12/2016 12:04;04/12/2016 12:48;b114;La Marina;Puente Romano;c1212;c310
;;;;;;
04/12/2016 12:02;04/12/2016 12:48;b87;La Marina;Puente Romano;c1204;c308
;;;;;;
04/12/2016 11:28;04/12/2016 13:22;b48;Estación de autobuses;Estación de autobuses;c1003;c1002
;;;;;;
04/12/2016 11:27;04/12/2016 11:36;b37;María Auxiliadora;La Marina;c807;c1209
;;;;;;
04/12/2016 10:25;04/12/2016 10:32;b37;La Marina;María Auxiliadora;c1214;c807
;;;;;;
04/12/2016 10:24;04/12/2016 10:29;b116;Plaza del Oeste;Campus Unamuno;c2403;c1317
;;;;;;
03/12/2016 21:45;03/12/2016 21:51;b128;Plaza Gabriel y Galán;Plaza de los Bandos;c2205;c208
;;;;;;
03/12/2016 21:37;03/12/2016 21:51;b1;María Auxiliadora;Plaza Gabriel y Galán;c803;c2202
;;;;;;
03/12/2016 21:14;03/12/2016 21:39;b136;Zurguén;Plaza Poeta Iglesias;c1706;c108
;;;;;;
03/12/2016 20:38;03/12/2016 20:50;b135;Estación de trenes;Parque Zona Carrefour;c903;c703
;;;;;;
03/12/2016 20:37;03/12/2016 20:51;b162;Estación de trenes;Parque Zona Carrefour;c907;c705
;;;;;;
03/12/2016 20:25;03/12/2016 20:40;b24;Plaza Gabriel y Galán;Salas Bajas;c2204;c2710
;;;;;;
03/12/2016 20:23;03/12/2016 20:31;b25;María Auxiliadora;Plaza Poeta Iglesias;c810;c112
;;;;;;
03/12/2016 19:44;03/12/2016 19:50;b27;Estación de trenes;Parque La Alamedilla;c902;c2809
;;;;;;
03/12/2016 19:36;03/12/2016 19:41;b94;Glorieta Antonio Machado;Estación de trenes;c2903;c906
;;;;;;
03/12/2016 19:35;03/12/2016 19:41;b135;Glorieta Antonio Machado;Estación de trenes;c2906;c903
;;;;;;
03/12/2016 19:17;03/12/2016 20:01;b121;Puente Romano;Puente Romano;c311;c311
;;;;;;
03/12/2016 19:13;03/12/2016 19:19;b114;Plaza Poeta Iglesias;La Marina;c117;c1212
;;;;;;
03/12/2016 19:11;03/12/2016 19:43;b41;Estación de trenes;Estación de trenes;c906;c904
;;;;;;
03/12/2016 18:43;03/12/2016 18:49;b90;Glorieta Alto del Rollo;Plaza San Julián;c2003;c2605
;;;;;;
03/12/2016 18:38;03/12/2016 18:43;b104;La Marina;Prosperidad;c1204;c1610
;;;;;;
03/12/2016 18:37;03/12/2016 18:56;b56;Parque Zona Carrefour;La Marina;c709;c1206
;;;;;;
03/12/2016 18:36;03/12/2016 18:56;b87;Parque Zona Carrefour;La Marina;c705;c1204
;;;;;;
03/12/2016 18:35;03/12/2016 18:44;b20;Plaza de los Bandos;Salas Bajas;c209;c2706
;;;;;;
03/12/2016 18:27;03/12/2016 18:36;b98;Plaza Gabriel y Galán;Plaza Iglesia Pizarrales;c2210;c1104
;;;;;;
03/12/2016 18:15;03/12/2016 19:31;b15;La Marina;La Marina;c1202;c1202
;;;;;;
03/12/2016 18:12;03/12/2016 18:32;b29;Plaza de los Bandos;Campus Claretianos;c202;c1515
;;;;;;
03/12/2016 18:10;03/12/2016 18:19;b27;Parque La Alamedilla;Estación de trenes;c2811;c902
;;;;;;
03/12/2016 18:04;03/12/2016 18:33;b141;Salas Bajas;Parque La Alamedilla;c2710;c2813
;;;;;;
03/12/2016 17:42;03/12/2016 18:27;b111;La Marina;Puente Romano;c1206;c306
;;;;;;
03/12/2016 17:32;03/12/2016 17:41;b118;Plaza Gabriel y Galán;La Marina;c2205;c1208
;;;;;;
03/12/2016 17:31;03/12/2016 18:27;b161;Plaza Gabriel y Galán;Puente Romano;c2207;c302
;;;;;;
03/12/2016 17:19;03/12/2016 17:36;b136;Plaza Gabriel y Galán;Zurguén;c2208;c1706
;;;;;;
03/12/2016 17:18;03/12/2016 18:07;b166;Estación de trenes;Plaza Poeta Iglesias;c910;c112
;;;;;;
03/12/2016 17:16;03/12/2016 17:30;b152;La Marina;Glorieta CYL;c1208;c1905
;;;;;;
03/12/2016 17:11;03/12/2016 18:00;b164;Plaza Gabriel y Galán;Salas Bajas;c2206;c2702
;;;;;;
03/12/2016 17:06;03/12/2016 17:31;b133;La Marina;Plaza Poeta Iglesias;c1203;c104
;;;;;;
03/12/2016 16:52;03/12/2016 16:58;b87;Federico Anaya - Tilos;Parque Zona Carrefour;c2106;c705
;;;;;;
03/12/2016 16:41;03/12/2016 16:51;b117;Plaza de los Bandos;Glorieta Alto del Rollo;c205;c2006
;;;;;;
03/12/2016 16:36;03/12/2016 17:16;b166;Plaza Poeta Iglesias;Estación de trenes;c104;c910
;;;;;;
03/12/2016 16:32;03/12/2016 16:47;b124;Plaza Iglesia Pizarrales;La Marina;c1106;c1210
;;;;;;
03/12/2016 16:28;03/12/2016 16:32;b30;Parque La Alamedilla;Glorieta Antonio Machado;c2803;c2910
;;;;;;
03/12/2016 16:26;03/12/2016 16:36;b116;María Auxiliadora;Plaza del Oeste;c806;c2403
;;;;;;
03/12/2016 16:23;03/12/2016 16:30;b24;Federico Anaya - Tilos;Plaza Poeta Iglesias;c2110;c108
;;;;;;
03/12/2016 16:20;03/12/2016 16:24;b87;Glorieta CYL;Federico Anaya - Tilos;c1911;c2106
;;;;;;
03/12/2016 16:17;03/12/2016 16:23;b22;Plaza Gabriel y Galán;Estación de autobuses;c2204;c1006
;;;;;;
03/12/2016 16:04;03/12/2016 16:07;b30;Estación de trenes;Parque La Alamedilla;c904;c2803
;;;;;;
03/12/2016 15:57;03/12/2016 16:04;b33;Plaza Poeta Iglesias;Salas Bajas;c106;c2708
;;;;;;
03/12/2016 15:54;03/12/2016 16:05;b20;Salas Bajas;Plaza de los Bandos;c2706;c209
;;;;;;
03/12/2016 15:52;03/12/2016 15:53;b140;Salas Bajas;Salas Bajas;c2704;c2704
;;;;;;
03/12/2016 15:52;03/12/2016 15:55;b49;Parque La Alamedilla;Plaza Poeta Iglesias;c2803;c102
;;;;;;
03/12/2016 15:38;03/12/2016 15:45;b166;Plaza Iglesia Pizarrales;Plaza Poeta Iglesias;c1104;c104
;;;;;;
03/12/2016 15:35;03/12/2016 15:42;b146;Plaza de los Bandos;Salas Bajas;c201;c2711
;;;;;;
03/12/2016 15:03;03/12/2016 15:23;b117;Federico Anaya - Tilos;Plaza de los Bandos;c2102;c205
;;;;;;
03/12/2016 14:21;03/12/2016 14:25;b66;Estación de trenes;Parque La Alamedilla;c910;c2819
;;;;;;
03/12/2016 14:16;03/12/2016 14:23;b90;La Marina;Glorieta Alto del Rollo;c1201;c2003
;;;;;;
03/12/2016 14:07;03/12/2016 14:25;b108;Parque Zona Carrefour;Parque Zona Carrefour;c706;c701
;;;;;;
03/12/2016 14:04;03/12/2016 14:08;b58;Parque Zona Carrefour;Plaza del Oeste;c703;c2411
;;;;;;
03/12/2016 13:55;03/12/2016 14:02;b49;Parque Zona Carrefour;Parque La Alamedilla;c705;c2803
;;;;;;
03/12/2016 13:51;03/12/2016 14:04;b25;Campus Ciencias;María Auxiliadora;c1404;c810
;;;;;;
03/12/2016 13:45;03/12/2016 13:55;b58;Glorieta CYL;Parque Zona Carrefour;c1908;c703
;;;;;;
03/12/2016 13:37;03/12/2016 13:50;b90;Federico Anaya - Tilos;La Marina;c2104;c1201
;;;;;;
03/12/2016 13:32;03/12/2016 14:14;b123;Prosperidad;Prosperidad;c1602;c1616
;;;;;;
03/12/2016 13:30;03/12/2016 13:36;b154;Glorieta Alto del Rollo;Prosperidad;c2002;c1612
;;;;;;
03/12/2016 13:23;03/12/2016 14:06;b93;Campus Unamuno;Campus Unamuno;c1316;c1315
;;;;;;
03/12/2016 13:21;03/12/2016 13:25;b50;Parque La Alamedilla;Plaza San Julián;c2819;c2610
;;;;;;
03/12/2016 13:02;03/12/2016 13:10;b98;Parque La Alamedilla;Plaza Gabriel y Galán;c2817;c2210
;;;;;;
03/12/2016 12:58;03/12/2016 13:11;b130;Plaza Poeta Iglesias;Plaza Gabriel y Galán;c102;c2211
;;;;;;
03/12/2016 12:57;03/12/2016 13:01;b33;Plaza del Oeste;Plaza Poeta Iglesias;c2402;c106
;;;;;;
03/12/2016 12:43;03/12/2016 12:52;b128;Federico Anaya - Tilos;Plaza Poeta Iglesias;c2112;c111
;;;;;;
03/12/2016 12:42;03/12/2016 12:59;b1;Zurguén;María Auxiliadora;c1703;c803
;;;;;;
03/12/2016 12:05;03/12/2016 12:17;b139;Nuevo Parking Hospital;Tejares;c407;c606
;;;;;;
03/12/2016 12:03;03/12/2016 12:21;b127;Tejares;Puente Romano;c604;c304
;;;;;;
03/12/2016 12:01;03/12/2016 12:57;b130;Barrio San José;Plaza Poeta Iglesias;c502;c102
;;;;;;
03/12/2016 11:24;03/12/2016 12:00;b130;Plaza Poeta Iglesias;Barrio San José;c101;c502
;;;;;;
03/12/2016 11:23;03/12/2016 11:56;b76;Puente Romano;Paseo Canalejas;c302;c2505
;;;;;;
03/12/2016 11:22;03/12/2016 11:33;b98;Parque La Alamedilla;Parque La Alamedilla;c2817;c2817
;;;;;;
03/12/2016 11:19;03/12/2016 11:26;b166;Parque Zona Carrefour;Plaza Iglesia Pizarrales;c705;c1104
;;;;;;
03/12/2016 10:56;03/12/2016 11:17;b47;Campus Claretianos;Campus Claretianos;c1515;c1515
;;;;;;
03/12/2016 10:52;03/12/2016 11:24;b130;Barrio San José;Plaza Poeta Iglesias;c504;c101
;;;;;;
03/12/2016 10:47;03/12/2016 11:03;b27;Estación de autobuses;Parque La Alamedilla;c1005;c2811
;;;;;;
03/12/2016 10:44;03/12/2016 10:52;b113;Plaza Iglesia Pizarrales;Parque Zona Carrefour;c1104;c707
;;;;;;
03/12/2016 10:30;03/12/2016 11:23;b76;Paseo Canalejas;Puente Romano;c2505;c302
;;;;;;
03/12/2016 10:29;03/12/2016 10:42;b176;Plaza de los Bandos;Prosperidad;c203;c1604
;;;;;;
02/12/2016 21:46;02/12/2016 21:57;b65;Plaza de los Bandos;María Auxiliadora;c201;c802
;;;;;;
02/12/2016 21:36;02/12/2016 21:53;b87;Nuevo Parking Hospital;Prosperidad;c409;c1612
;;;;;;
02/12/2016 21:22;02/12/2016 21:59;b114;Plaza Poeta Iglesias;Plaza Poeta Iglesias;c105;c108
;;;;;;
02/12/2016 21:13;02/12/2016 21:19;b141;Paseo Canalejas;Salas Bajas;c2510;c2710
;;;;;;
02/12/2016 21:01;02/12/2016 21:10;b162;Campus Claretianos;Estación de trenes;c1505;c907
;;;;;;
02/12/2016 21:01;02/12/2016 21:48;b130;Plaza de los Bandos;Barrio San José;c202;c504
;;;;;;
02/12/2016 21:00;02/12/2016 21:10;b114;Campus Claretianos;Plaza Poeta Iglesias;c1507;c105
;;;;;;
02/12/2016 20:50;02/12/2016 21:03;b113;Plaza Poeta Iglesias;Plaza Iglesia Pizarrales;c102;c1104
;;;;;;
02/12/2016 20:49;02/12/2016 20:57;b129;Campus Unamuno;Puente Romano;c1305;c302
;;;;;;
02/12/2016 20:48;02/12/2016 20:54;b48;Huerta Otea;Estación de autobuses;c1808;c1003
;;;;;;
02/12/2016 20:47;02/12/2016 20:57;b65;Campus Unamuno;Plaza de los Bandos;c1314;c201
;;;;;;
02/12/2016 20:44;02/12/2016 21:00;b130;María Auxiliadora;Plaza de los Bandos;c801;c202
;;;;;;
02/12/2016 20:23;02/12/2016 20:32;b130;Parque La Alamedilla;María Auxiliadora;c2810;c801
;;;;;;
02/12/2016 20:19;02/12/2016 20:28;b176;Glorieta Alto del Rollo;Plaza Poeta Iglesias;c2006;c108
;;;;;;
02/12/2016 20:11;02/12/2016 20:24;b154;Glorieta CYL;Glorieta Alto del Rollo;c1913;c2002
;;;;;;
02/12/2016 20:05;02/12/2016 20:39;b128;Plaza Poeta Iglesias;Federico Anaya - Tilos;c110;c2112
;;;;;;
02/12/2016 20:02;02/12/2016 20:17;b75;Plaza Poeta Iglesias;Estación de trenes;c106;c905
;;;;;;
02/12/2016 20:02;02/12/2016 20:10;b26;Campus Claretianos;María Auxiliadora;c1503;c804
;;;;;;
02/12/2016 20:01;02/12/2016 20:06;b10;Campus Ciencias;Plaza Poeta Iglesias;c1408;c114
;;;;;;
02/12/2016 20:00;02/12/2016 20:06;b113;Campus Ciencias;Plaza Poeta Iglesias;c1404;c102
;;;;;;
02/12/2016 19:58;02/12/2016 20:06;b95;Estación de autobuses;Parque La Alamedilla;c1010;c2813
;;;;;;
02/12/2016 19:57;02/12/2016 20:31;b159;Plaza Poeta Iglesias;Plaza Poeta Iglesias;c102;c110
;;;;;;
02/12/2016 19:52;02/12/2016 19:59;b154;Parque Zona Carrefour;Glorieta CYL;c702;c1913
;;;;;;
02/12/2016 19:42;02/12/2016 19:55;b62;Glorieta Antonio Machado;Glorieta Antonio Machado;c2901;c2908
;;;;;;
02/12/2016 19:37;02/12/2016 19:45;b14;Estación de trenes;Parque La Alamedilla;c907;c2816
;;;;;;
02/12/2016 19:28;02/12/2016 19:37;b29;Plaza del Oeste;Plaza San Julián;c2403;c2611
;;;;;;
02/12/2016 19:23;02/12/2016 19:27;b40;Glorieta CYL;Federico Anaya - Tilos;c1911;c2108
;;;;;;
02/12/2016 19:21;02/12/2016 19:32;b136;Plaza Iglesia Pizarrales;Plaza Gabriel y Galán;c1105;c2208
;;;;;;
02/12/2016 19:20;02/12/2016 19:25;b97;Glorieta Alto del Rollo;María Auxiliadora;c2004;c811
;;;;;;
02/12/2016 19:12;02/12/2016 19:20;b152;María Auxiliadora;La Marina;c804;c1208
;;;;;;
02/12/2016 19:09;02/12/2016 19:25;b130;Plaza Gabriel y Galán;Parque La Alamedilla;c2208;c2810
;;;;;;
02/12/2016 19:08;02/12/2016 19:22;b37;Federico Anaya - Tilos;La Marina;c2111;c1201
;;;;;;
02/12/2016 18:53;02/12/2016 19:33;b84;Plaza San Julián;Parque La Alamedilla;c2602;c2807
;;;;;;
02/12/2016 18:53;02/12/2016 19:01;b75;Estación de autobuses;Plaza Poeta Iglesias;c1002;c106
;;;;;;
02/12/2016 18:52;02/12/2016 19:01;b130;Plaza de los Bandos;Plaza Gabriel y Galán;c201;c2208
;;;;;;
02/12/2016 18:44;02/12/2016 18:54;b159;María Auxiliadora;Plaza Poeta Iglesias;c802;c102
;;;;;;
02/12/2016 18:44;02/12/2016 19:17;b58;Prosperidad;Glorieta CYL;c1612;c1908
;;;;;;
02/12/2016 18:39;02/12/2016 18:50;b166;Parque La Alamedilla;Parque Zona Carrefour;c2803;c705
;;;;;;
02/12/2016 18:35;02/12/2016 18:52;b130;Zurguén;Plaza de los Bandos;c1701;c201
;;;;;;
02/12/2016 18:35;02/12/2016 19:01;b128;Parque Zona Carrefour;Plaza Poeta Iglesias;c704;c110
;;;;;;
02/12/2016 18:22;02/12/2016 18:36;b63;Glorieta CYL;Plaza Iglesia Pizarrales;c1902;c1102
;;;;;;
02/12/2016 18:18;02/12/2016 18:30;b37;Plaza Poeta Iglesias;Federico Anaya - Tilos;c112;c2111
;;;;;;
02/12/2016 17:59;02/12/2016 18:06;b17;Plaza de los Bandos;Campus Unamuno;c201;c1320
;;;;;;
02/12/2016 17:59;02/12/2016 18:17;b171;Huerta Otea;Paseo Canalejas;c1805;c2508
;;;;;;
02/12/2016 17:57;02/12/2016 18:05;b129;Puente Romano;Campus Unamuno;c304;c1305
;;;;;;
02/12/2016 17:52;02/12/2016 18:01;b93;María Auxiliadora;Campus Unamuno;c803;c1316
;;;;;;
02/12/2016 17:44;02/12/2016 17:54;b112;Campus Ciencias;Parque La Alamedilla;c1410;c2814
;;;;;;
02/12/2016 17:42;02/12/2016 18:20;b47;Campus Claretianos;Campus Claretianos;c1515;c1515
;;;;;;
02/12/2016 17:42;02/12/2016 17:48;b19;Parque Zona Carrefour;Plaza del Oeste;c706;c2409
;;;;;;
02/12/2016 17:17;02/12/2016 17:41;b58;Federico Anaya - Tilos;Prosperidad;c2106;c1612
;;;;;;
02/12/2016 17:05;02/12/2016 17:11;b118;Glorieta CYL;Plaza Gabriel y Galán;c1909;c2205
;;;;;;
02/12/2016 17:03;02/12/2016 17:09;b85;Glorieta Antonio Machado;Plaza Gabriel y Galán;c2904;c2211
;;;;;;
02/12/2016 16:29;02/12/2016 16:37;b101;Federico Anaya - Tilos;Plaza Poeta Iglesias;c2114;c104
;;;;;;
02/12/2016 16:13;02/12/2016 16:36;b129;Plaza Poeta Iglesias;Puente Romano;c110;c304
;;;;;;
02/12/2016 16:11;02/12/2016 16:18;b166;Parque Zona Carrefour;Parque La Alamedilla;c702;c2803
;;;;;;
02/12/2016 16:07;02/12/2016 16:14;b161;Glorieta Antonio Machado;Plaza Gabriel y Galán;c2902;c2207
;;;;;;
02/12/2016 16:01;02/12/2016 16:09;b154;Plaza Iglesia Pizarrales;Glorieta CYL;c1102;c1906
;;;;;;
02/12/2016 16:00;02/12/2016 16:14;b162;Campus Unamuno;Campus Claretianos;c1305;c1505
;;;;;;
02/12/2016 15:58;02/12/2016 16:07;b26;Estación de trenes;Campus Claretianos;c908;c1503
;;;;;;
02/12/2016 15:56;02/12/2016 16:02;b160;Prosperidad;Parque La Alamedilla;c1614;c2812
;;;;;;
02/12/2016 15:54;02/12/2016 16:00;b167;Parque La Alamedilla;María Auxiliadora;c2801;c812
;;;;;;
02/12/2016 15:48;02/12/2016 15:58;b114;Plaza Iglesia Pizarrales;Campus Claretianos;c1103;c1507
;;;;;;
02/12/2016 15:41;02/12/2016 15:49;b152;Prosperidad;María Auxiliadora;c1604;c804
;;;;;;
02/12/2016 15:40;02/12/2016 15:53;b150;La Marina;Campus Unamuno;c1208;c1307
;;;;;;
02/12/2016 15:39;02/12/2016 15:51;b109;Campus Claretianos;Campus Unamuno;c1510;c1303
;;;;;;
02/12/2016 15:39;02/12/2016 15:47;b141;Salas Bajas;Paseo Canalejas;c2708;c2510
;;;;;;
02/12/2016 15:39;02/12/2016 15:48;b39;La Marina;Plaza del Oeste;c1209;c2408
;;;;;;
02/12/2016 15:33;02/12/2016 15:41;b118;Parque Zona Carrefour;Glorieta CYL;c708;c1909
;;;;;;
02/12/2016 15:27;02/12/2016 15:38;b15;Plaza Poeta Iglesias;Glorieta CYL;c114;c1912
;;;;;;
02/12/2016 15:24;02/12/2016 15:26;b27;Plaza Poeta Iglesias;Plaza Poeta Iglesias;c116;c116
;;;;;;
02/12/2016 15:18;02/12/2016 15:24;b20;Plaza Poeta Iglesias;Glorieta Antonio Machado;c110;c2908
;;;;;;
02/12/2016 15:08;02/12/2016 15:16;b64;Estación de trenes;Prosperidad;c905;c1603
;;;;;;
02/12/2016 15:02;02/12/2016 15:14;b41;Plaza Poeta Iglesias;Estación de trenes;c114;c906
;;;;;;
02/12/2016 15:01;02/12/2016 15:07;b156;Federico Anaya - Tilos;Estación de trenes;c2102;c901
;;;;;;
02/12/2016 14:59;02/12/2016 15:09;b174;Campus Unamuno;Plaza de los Bandos;c1307;c207
;;;;;;
02/12/2016 14:58;02/12/2016 15:09;b42;Campus Unamuno;Plaza de los Bandos;c1316;c206
;;;;;;
02/12/2016 14:57;02/12/2016 15:10;b47;Nuevo Parking Hospital;Campus Claretianos;c403;c1515
;;;;;;
02/12/2016 14:56;02/12/2016 15:10;b33;Campus Unamuno;Plaza del Oeste;c1314;c2402
;;;;;;
02/12/2016 14:50;02/12/2016 15:06;b154;La Marina;Plaza Iglesia Pizarrales;c1205;c1102
;;;;;;
02/12/2016 14:49;02/12/2016 20:47;b65;Campus Claretianos;Campus Unamuno;c1508;c1314
;;;;;;
02/12/2016 14:45;02/12/2016 14:55;b40;Parque La Alamedilla;Glorieta CYL;c2813;c1911
;;;;;;
02/12/2016 14:34;02/12/2016 14:54;b41;Puente Romano;Plaza Poeta Iglesias;c304;c114
;;;;;;
02/12/2016 14:34;02/12/2016 14:45;b101;Plaza Poeta Iglesias;Federico Anaya - Tilos;c106;c2114
;;;;;;
02/12/2016 14:33;02/12/2016 14:52;b64;Plaza del Oeste;Estación de trenes;c2402;c905
;;;;;;
02/12/2016 14:32;02/12/2016 14:45;b170;Estación de trenes;Paseo Canalejas;c906;c2501
;;;;;;
02/12/2016 14:31;02/12/2016 14:41;b51;Parque Zona Carrefour;Estación de trenes;c707;c911
;;;;;;
02/12/2016 14:31;02/12/2016 14:45;b5;Estación de trenes;Paseo Canalejas;c905;c2502
;;;;;;
02/12/2016 14:29;02/12/2016 14:38;b11;Campus Ciencias;Plaza Gabriel y Galán;c1408;c2203
;;;;;;
02/12/2016 14:29;02/12/2016 14:40;b81;Plaza Poeta Iglesias;Parque La Alamedilla;c117;c2818
;;;;;;
02/12/2016 14:26;02/12/2016 14:32;b10;Plaza de los Bandos;Glorieta Antonio Machado;c207;c2910
;;;;;;
02/12/2016 14:25;02/12/2016 14:33;b164;Glorieta Alto del Rollo;Plaza Gabriel y Galán;c2004;c2206
;;;;;;
02/12/2016 14:21;02/12/2016 14:28;b97;La Marina;Glorieta Alto del Rollo;c1204;c2004
;;;;;;
02/12/2016 14:18;02/12/2016 14:27;b30;Paseo Canalejas;Estación de trenes;c2502;c904
;;;;;;
02/12/2016 14:18;02/12/2016 14:26;b20;Parque La Alamedilla;Puente Romano;c2810;c302
;;;;;;
02/12/2016 14:12;02/12/2016 14:19;b101;Estación de autobuses;Plaza Poeta Iglesias;c1004;c106
;;;;;;
02/12/2016 14:10;02/12/2016 14:24;b58;Campus Ciencias;Estación de trenes;c1402;c913
;;;;;;
02/12/2016 14:09;02/12/2016 14:16;b169;Parque La Alamedilla;Plaza de Toros;c2806;c2303
;;;;;;
02/12/2016 14:06;02/12/2016 14:10;b115;Nuevo Parking Hospital;Puente Romano;c402;c307
;;;;;;
02/12/2016 14:02;02/12/2016 14:12;b135;Estación de autobuses;Glorieta Antonio Machado;c1011;c2906
;;;;;;
02/12/2016 14:00;02/12/2016 14:17;b167;Parque La Alamedilla;Parque La Alamedilla;c2802;c2801
;;;;;;
02/12/2016 13:59;02/12/2016 14:03;b169;Parque La Alamedilla;Parque La Alamedilla;c2808;c2806
;;;;;;
02/12/2016 13:46;02/12/2016 14:03;b62;Parque Zona Carrefour;Glorieta Antonio Machado;c706;c2901
;;;;;;
02/12/2016 13:44;02/12/2016 13:52;b39;Plaza Poeta Iglesias;La Marina;c109;c1209
